Latitude                	Longitude               	RA_Credible             	Dec_Credible            	Log_Bayes_Factor        	Log_Evidence            	Posterior_Volume        	95_Cred_Area            
-40.0                   	112.0                   	0.17086041215352996     	0.04888074209853913     	7023.7905818820645      	-31507.814922614343     	1.648393035032429e-07   	1.6947479125644975e-09  
-36.77777777777778      	112.0                   	0.19682117738273247     	0.0721603810156726      	6964.8739710843365      	-31508.403515844097     	1.6551668251818008e-07  	1.7469140628031284e-09  
-33.55555555555556      	112.0                   	0.5754214485750371      	0.23699961561693483     	8138.896651780975       	-39431.39626033128      	1.479586464619732e-07   	1.3648048665811596e-09  
-30.333333333333332     	112.0                   	0.18275957036629029     	0.3978518314513908      	8032.40862707549        	-39397.55369307403      	1.5950163096741012e-07  	1.4052497565547804e-09  
-27.11111111111111      	112.0                   	0.21654407728620045     	0.5613678779229334      	9051.566963317024       	-46966.20997688523      	1.4161742841914968e-07  	1.2177259175237103e-09  
-23.88888888888889      	112.0                   	0.1571436412536363      	0.9558702453482628      	8753.324027483417       	-47217.67794591098      	1.330995470751692e-07   	1.1920817252426075e-09  
-20.666666666666664     	112.0                   	0.28898140138408307     	0.09969723183391004     	9998.542821291798       	-55149.24879427648      	1.2280676364324474e-07  	1.0816400431193504e-09  
-17.444444444444443     	112.0                   	0.6110628596243621      	0.9940831614374118      	9609.8154154043         	-55154.16673378181      	1.2750881157167618e-07  	1.123021959276123e-09   
-14.222222222222221     	112.0                   	0.7881619937694704      	0.3273713610484477      	10694.72668027935       	-63082.72631632231      	1.1342052451468368e-07  	1.0044834894001715e-09  
-11.0                   	112.0                   	0.5587125296527927      	0.1629825318093595      	10618.610477307904      	-62974.18769130851      	1.2807276083374995e-07  	1.045986503716744e-09   
-40.0                   	116.66666666666667      	0.3842550212697216      	0.4475795595282968      	11991.329397526866      	-71129.40904996908      	9.277433349088677e-08   	9.164158701564625e-10   
-36.77777777777778      	116.66666666666667      	0.7633796768479253      	0.4026517794836008      	12335.174041678092      	-71081.0201609052       	1.0033641126214119e-07  	9.121730645642245e-10   
-33.55555555555556      	116.66666666666667      	0.1784526470748596      	0.22637806008396488     	13123.13033244273       	-78961.21018323298      	8.936274003581789e-08   	8.9008445747062e-10     
-30.333333333333332     	116.66666666666667      	0.8846969285131829      	0.8513726556129383      	13208.448793611486      	-79533.61411181775      	8.570926433052448e-08   	8.429566998646532e-10   
-27.11111111111111      	116.66666666666667      	0.32375726275016137     	0.04766516031848504     	14564.953470005668      	-86263.7629033283       	7.938960272375359e-08   	8.167504393678108e-10   
-23.88888888888889      	116.66666666666667      	0.48186136903476573     	0.7304577844957892      	14215.084072858015      	-86473.61790491157      	7.649502325315454e-08   	8.316661888755567e-10   
-20.666666666666664     	116.66666666666667      	0.026048895057115405    	0.5617059891107078      	15229.333709496073      	-95533.17537903803      	7.039173768240341e-08   	8.139860937278603e-10   
-17.444444444444443     	116.66666666666667      	0.46940522036799315     	0.9428219940094138      	15334.357944018991      	-94630.36468063906      	6.478042883969753e-08   	7.78603455431245e-10    
-14.222222222222221     	116.66666666666667      	0.10941131953078545     	0.07827450132439591     	16252.47912489256       	-102668.12168928821     	6.386986324952592e-08   	7.547733128736508e-10   
-11.0                   	116.66666666666667      	0.3373830770884851      	0.247123965165036       	16065.427972919271      	-102789.06723254287     	6.175214143272436e-08   	7.57139603259047e-10    
-40.0                   	121.33333333333333      	0.26933850463262227     	0.8135100193923723      	17370.30774984598       	-110192.57900172818     	5.8455970797157074e-08  	7.372927511201125e-10   
-36.77777777777778      	121.33333333333333      	0.5221234197557317      	0.8613134776087422      	18096.666200084393      	-110018.20448392585     	6.270476680229125e-08   	7.350072089715217e-10   
-33.55555555555556      	121.33333333333333      	0.16795160081379162     	0.1552093371881358      	19232.501005573886      	-119347.20071924392     	4.31989762525469e-08    	6.673602285267765e-10   
-30.333333333333332     	121.33333333333333      	0.8686354378818737      	0.3672419337549577      	18695.698126845793      	-119106.32756769261     	4.72834273648655e-08    	6.861276420813857e-10   
-27.11111111111111      	121.33333333333333      	0.7444545893979269      	0.5960577904291315      	20289.48593674478       	-127055.35939810367     	3.3083323288569996e-08  	6.455332430592585e-10   
-23.88888888888889      	121.33333333333333      	0.5874906924795235      	0.6539197957664078      	20115.325745939066      	-127435.46492316775     	3.50799704437997e-08    	6.353360338218921e-10   
-20.666666666666664     	121.33333333333333      	0.9728292656989419      	0.4587653533258893      	21351.725967560636      	-133806.11505873076     	2.4920064361609447e-08  	6.375914640726017e-10   
-17.444444444444443     	121.33333333333333      	0.11641822941710744     	0.09274990650211037     	20741.964808401823      	-134407.99326713243     	2.9390861765963626e-08  	6.320049599731941e-10   
-14.222222222222221     	121.33333333333333      	0.8742058449809402      	0.19117958492164336     	22452.451156312618      	-142623.61752577737     	2.149789461891495e-08   	6.036341232058108e-10   
-11.0                   	121.33333333333333      	0.50552016985138        	0.5419320594479831      	21926.1402436692        	-142343.34295037284     	2.232021895819554e-08   	6.34612703102597e-10    
-40.0                   	126.0                   	0.01929889493998837     	0.47448844709987836     	23890.185027192052      	-150491.39700405055     	1.897250501464934e-08   	5.912755528549684e-10   
-36.77777777777778      	126.0                   	0.29077600381902086     	0.011934440142152442    	23287.519856785304      	-150378.78815373915     	2.341448571190311e-08   	5.944979557275628e-10   
-33.55555555555556      	126.0                   	0.6577668634724907      	0.7885469460264382      	25442.745232783167      	-159091.39286959512     	5.271439284538988e-09   	5.749649497183211e-10   
