Latitude      	Longitude     	RA_Credible             	Dec_Credible            	Log_Bayes_Factor        	Log_Evidence            	Posterior_Volume        
-40.0         	112.0         	0.24828483558079015     	0.12520700260231843     	2841.41823469623        	-45437.20335343301      	9.384709076655465e-07   
-37.92857142857143	112.0         	0.27096389137570875     	0.6211280214861236      	2909.448035241844       	-44690.60108735891      	1.123995264194363e-06   
-35.857142857142854	112.0         	0.6041963015647226      	0.14206970128022758     	2596.3181528031287      	-45269.28046517404      	9.476600906803025e-07   
-33.785714285714285	112.0         	0.8709160984286984      	0.5404684257337682      	2488.7459383494665      	-45278.04517372996      	1.1501217179334518e-06  
-31.714285714285715	112.0         	0.3444299132088931      	0.24295565331114016     	2573.6296728026364      	-44934.898983606196     	9.90773936182045e-07    
-29.642857142857142	112.0         	0.5581860014531363      	0.1636594817147009      	2493.7129258074206      	-45127.02165030795      	1.2071136356969087e-06  
-27.57142857142857	112.0         	0.3385498489425982      	0.18012084592145014     	2373.5141044727425      	-45426.0468349227       	9.904339533840933e-07   
-25.5         	112.0         	0.13167238370343623     	0.09207438165733887     	2391.4097163391802      	-45133.16513130158      	1.1108664331635673e-06  
-23.428571428571427	112.0         	0.38459708593517694     	0.2814154029140648      	2350.5185325164084      	-45310.88953015         	9.814062057740634e-07   
-21.357142857142854	112.0         	0.13725134530503658     	0.17739887538545257     	2322.770110497745       	-45085.92003359971      	9.1618738277442e-07     
-19.285714285714285	112.0         	0.3644268307109902      	0.4989944398438424      	2405.2812361353085      	-45077.24637403828      	8.466585348619684e-07   
-17.21428571428571	112.0         	0.19345274113518093     	0.45455645649279924     	2387.3021374463865      	-45119.091447618324     	1.1136033578345286e-06  
-15.142857142857139	112.0         	0.0395264007654129      	0.0020331280272678346   	2434.761380045465       	-45578.65255601905      	8.336799763748614e-07   
-13.07142857142857	112.0         	0.5771050141911069      	0.1634933774834437      	2503.5247392455904      	-45208.39092064846      	9.374588926397302e-07   
-11.0         	112.0         	0.685229588778324       	0.8392279103225033      	2406.0962335100708      	-45686.83016201423      	9.067773729599383e-07   
-40.0         	115.0         	0.32436134103495506     	0.9431906151372595      	2785.3956318033734      	-45502.05666020338      	7.190791668893425e-07   
-37.92857142857143	115.0         	0.42136498516320475     	0.2028099073457276      	2744.853638210275       	-45459.39888097251      	6.76357471343213e-07    
-35.857142857142854	115.0         	0.567245508982036       	0.18287425149700598     	2749.8341377474485      	-44927.939795452934     	6.771299167102957e-07   
-33.785714285714285	115.0         	0.33280037898975545     	0.22472908154201457     	2773.4286363667284      	-45376.99621089173      	6.184245606447242e-07   
-31.714285714285715	115.0         	0.3555727646393042      	0.6506225055102163      	2620.1358362997967      	-45206.17721646346      	7.5394141993223e-07     
-29.642857142857142	115.0         	0.5703083229370879      	0.5773183627398563      	2483.9693522423668      	-45009.30508862207      	6.172615407047788e-07   
-27.57142857142857	115.0         	0.855988991264808       	0.8659207849706833      	2470.4328340473085      	-45046.287440007916     	6.682917907364972e-07   
-25.5         	115.0         	0.1148903102397035      	0.4317054217227569      	2429.552583874599       	-45338.85447553058      	8.114511782579485e-07   
-23.428571428571427	115.0         	0.6662076398036163      	0.9140821458507963      	2429.9163987265715      	-44905.61763506517      	5.933972818945362e-07   
-21.357142857142854	115.0         	0.17765830346475509     	0.5136200716845878      	2433.926351414812       	-45434.774332922905     	6.869787280346863e-07   
-19.285714285714285	115.0         	0.9194089597927827      	0.14440454465179256     	2412.8685649754907      	-45376.096677032634     	4.970021416433113e-07   
-17.21428571428571	115.0         	0.9933700349257089      	0.658320014207068       	2444.416517941835       	-44914.854293375        	5.492379050126609e-07   
-15.142857142857139	115.0         	0.6204292764135799      	0.6138890540460193      	2528.78763773301        	-44867.44259175692      	6.749337616874634e-07   
-13.07142857142857	115.0         	0.8793838862559241      	0.16919431279620853     	2562.0183159321527      	-45133.44869967589      	6.581397399877715e-07   
-11.0         	115.0         	0.8647076283763728      	0.6908281389136243      	2617.1707485938105      	-45241.837255781335     	5.329554682793669e-07   
-40.0         	118.0         	0.2706367220164855      	0.4974913391470553      	2932.1852084967477      	-45401.9492235415       	4.213058194811509e-07   
-37.92857142857143	118.0         	0.6913955428435228      	0.9207484209271839      	2809.1729238244393      	-45313.41276053024      	4.491991333681215e-07   
-35.857142857142854	118.0         	0.07020558089934238     	0.5582084246697079      	2627.0663106377538      	-45212.598151737126     	3.40387199516748e-07    
-33.785714285714285	118.0         	0.30508072174738843     	0.7382478632478633      	2705.863008995272       	-45224.88151265053      	4.7662510089859276e-07  
-31.714285714285715	118.0         	0.11443083358231251     	0.1386913654018524      	2553.7881762799875      	-45179.13699156074      	4.4677116250211933e-07  
-29.642857142857142	118.0         	0.11481703659268146     	0.8411517696460707      	2466.186629410705       	-45334.870710668554     	4.727941521183807e-07   
-27.57142857142857	118.0         	0.6236081497275527      	0.8567282634446813      	2473.097205876582       	-45277.272603333324     	4.43688327548955e-07    
-25.5         	118.0         	0.9513992928627075      	0.173967759333613       	2591.9589597802646      	-44949.448127058706     	3.756941755512056e-07   
-23.428571428571427	118.0         	0.18917311124330755     	0.22492563950029745     	2384.0039669506896      	-45075.84340273891      	4.573555303975095e-07   
-21.357142857142854	118.0         	0.11700281285534742     	0.08683942785325274     	2494.3925403063354      	-45120.709127377726     	4.3797859366660745e-07  
-19.285714285714285	118.0         	0.42624228256308816     	0.14469819576814721     	2358.969879913503       	-45379.39808726284      	4.350643270064194e-07   
-17.21428571428571	118.0         	0.026945577025350116    	0.47727944217928264     	2491.4944643200174      	-45230.71600822266      	3.670165615716597e-07   
-15.142857142857139	118.0         	0.19527691201150804     	0.4723687365140254      	2505.135943255781       	-44962.43730312223      	3.652455752954043e-07   
-13.07142857142857	118.0         	0.8840459059285247      	0.14651840399595648     	2574.0011652819653      	-45058.854626996224     	2.7301150406717187e-07  
-11.0         	118.0         	0.5565365824945553      	0.7471304962034258      	2422.110708585307       	-45412.91096600306      	3.8352389140103163e-07  
-40.0         	121.0         	0.35236801700720444     	0.7215660800755875      	2963.014429207287       	-45380.818605418186     	1.8816283848375808e-07  
-37.92857142857143	121.0         	0.4473495702005731      	0.002029608404966571    	2989.140478359458       	-44974.08111941841      	1.8472172674933367e-07  
-35.857142857142854	121.0         	0.26645786905980845     	0.5966993916762031      	2753.3410649086795      	-45449.62964637662      	1.5583662875630282e-07  
-33.785714285714285	121.0         	0.5844532591320821      	0.5989580249837192      	2918.2367546207374      	-45233.84560909186      	1.726048047747765e-07   
-31.714285714285715	121.0         	0.9659719769221712      	0.5804780407394324      	2675.767010895257       	-45013.171553446766     	6.267148178689092e-08   
-29.642857142857142	121.0         	0.1387429920330481      	0.8978459722632045      	2575.4368672958994      	-45302.09643374763      	1.9530275858099266e-07  
-27.57142857142857	121.0         	0.05921561625900137     	0.1675296078081295      	2489.5874653889964      	-45479.48542116794      	2.754656782223461e-07   
-25.5         	121.0         	0.11942799018727936     	0.5945671034524023      	2524.084595246528       	-44805.95742097095      	2.245003679990336e-07   
-23.428571428571427	121.0         	0.21943108260585545     	0.6707049112180058      	2575.9419143927635      	-44925.996710572406     	2.0400039351958356e-07  
-21.357142857142854	121.0         	0.26879244168881017     	0.4945379391792146      	2493.403616165963       	-45231.924028883834     	1.3756142192678932e-07  
-19.285714285714285	121.0         	0.4785081417624521      	0.18271072796934865     	2423.2693762043064      	-45404.73931359622      	1.0795235103208053e-07  
-17.21428571428571	121.0         	0.2472293775834182      	0.9801114239501587      	2522.5044259091683      	-45289.85601877923      	4.5789919987126386e-08  
-15.142857142857139	121.0         	0.8032640419322176      	0.6881886949788552      	2462.324981326643       	-44795.75807338704      	1.2129955064933825e-07  
-13.07142857142857	121.0         	0.6298192771084338      	0.9137951807228916      	2572.9786646087855      	-45339.39142717524      	6.344902691098506e-08   
