Latitude                	Longitude               	RA_Credible             	Dec_Credible            	Log_Bayes_Factor        	Log_Evidence            	Posterior_Volume        	95_Cred_Area            
-40.0                   	112.0                   	0.36032751613674396     	0.030839110686110446    	2871.644847859205       	-45030.38683836133      	9.114269486412568e-07   	5.802394000906106e-09   
-30.333333333333336     	112.0                   	0.058749019844381446    	0.7992641293202244      	2429.461226986101       	-45381.034163572986     	1.1601857497926615e-06  	6.303217404936969e-09   
-20.666666666666668     	112.0                   	0.10055495234648329     	0.43605983833996864     	2312.691927464994       	-45358.01181795611      	1.115337415430143e-06   	6.464108881516833e-09   
-11.0                   	112.0                   	0.6945736434108527      	0.408288610614192       	2528.636207806815       	-45163.41863054876      	8.499311854647269e-07   	5.501978449976428e-09   
-40.0                   	126.0                   	0.5019901384185825      	0.860036832412523       	3138.327455969333       	-44791.35891225283      	4.7227730534302194e-08  	4.4428473562147666e-09  
-30.333333333333336     	126.0                   	0.7998579293198366      	0.3847747587758243      	2746.0501954395227      	-45083.247267918305     	2.1036465325922348e-07  	4.7634868140184555e-09  
-20.666666666666668     	126.0                   	0.7568034300005955      	0.5094980051211815      	2558.7833403504264      	-45260.95732610787      	2.2642141469869543e-07  	4.5409242534699166e-09  
-11.0                   	126.0                   	0.5662346801149358      	0.32686330850876677     	2751.089741293921       	-45160.986523168845     	3.61843688678448e-07    	4.97769661649455e-09    
-40.0                   	140.0                   	0.701082187774203       	0.4933021351272302      	3320.56754779371        	-45413.469422152724     	1.045108190786406e-06   	5.007137216674989e-09   
-30.333333333333336     	140.0                   	0.18369913122999543     	0.9961705532693187      	2962.3289274256567      	-45277.14548487248      	1.0275538206882146e-06  	4.7655205541278e-09     
-20.666666666666668     	140.0                   	0.5623403623403623      	0.9506385506385506      	2703.69659017938        	-45134.65562311165      	1.433183536533747e-06   	5.683887733493605e-09   
-11.0                   	140.0                   	0.8429610358895524      	0.30089280435168214     	2862.597385837691       	-44946.53397098273      	1.3654735817263474e-06  	5.118510153513171e-09   
-40.0                   	154.0                   	0.3561499824786824      	0.6812288284078962      	3565.3693561189575      	-45019.959481957325     	2.2987520582217505e-06  	6.084789833358662e-09   
-30.333333333333336     	154.0                   	0.2199002054593484      	0.8586439683005577      	3190.6543587334945      	-45222.77873674356      	1.7534317348141083e-06  	5.290838043050507e-09   
-20.666666666666668     	154.0                   	0.8273615635179153      	0.42170777105630525     	2855.099697166025       	-45125.45639731921      	1.724590018792054e-06   	5.273902424296616e-09   
-11.0                   	154.0                   	0.36950492712574495     	0.17672744438543694     	2918.477589647706       	-45318.49020240609      	1.6016770803952966e-06  	5.101758753661216e-09   
